followers count,friends count,retweet count,favorite count,polarity,SubjectivityClass
248,1007,0,0,0,
1860,53,1,0,0.118181818,
1604,3040,0,1,0,
146,198,0,0,0,
2645,4177,0,0,0.15,
16,189,0,0,0,
97,1368,0,0,-0.1,
168,111,0,1,0,
119,735,0,0,0,
272,179,0,1,-0.5,
7,28,0,0,0.5,
1151,2110,0,0,0.3,
5912,6293,1,0,0,
80,15,0,0,0,
45,337,0,0,0,
2229,5000,0,0,0,
8494,7544,1,0,0.136363636,
1566,2213,0,0,-0.175,
630,142,4,4,0,
211,77,0,0,0,
5227,5737,0,0,0.3,
814,1063,0,0,-0.1,
1036,2850,0,0,0.45,
14,94,0,0,-0.275,
117,217,0,0,0,
474,618,0,0,0,
22,38,0,0,0,
1752,2976,0,0,0,
993,501,0,0,0.5,
78866,2411,286,811,0,
332078,2829,30,160,-0.0875,
8870,3160,3,20,0.261904762,
62684,66169,91,260,0,
622,1282,0,0,0.5,
36305,25989,0,0,0.3,
14179,2029,10,23,0,
1213,2822,0,0,0.233333333,
12929,14103,1,2,0,
3592,1316,3,7,0,
6078,4682,0,2,0.228571429,
117450,28888,0,1,-0.030555556,
473,422,0,0,0.1,
49468,1187,70,314,0,
5,62,1,1,0.5,
110,349,0,0,0,
276,574,0,0,-0.404761905,
116,284,0,0,0,
3159,5000,0,1,0.15,
38,166,1,0,0,
124,523,0,0,0.05,
172,94,0,0,0,
2099,586,0,0,0,
7245,7902,0,0,0.3,
1949,3791,1,2,0.2,
1150,1805,2,2,-0.1,
1,3,0,1,0.05,
220,437,0,0,0,
20446,1091,2,38,0.0625,
805,155,0,1,0,
11278,10988,2,0,0.3,
32,13,0,0,0.45,
320,8,0,0,0.3,
75,180,0,0,-0.2,
10195,10392,0,0,0.473214286,
10653,4,0,0,0,
170,63,0,0,0.3,
178,718,0,0,0.033333333,
34755,8475,2,11,-0.4,
486,1205,0,0,0.3,
21,121,0,0,0,
61,217,2,1,0.2,
1528,2016,0,2,0.35,
283569,255,8,15,0,
44,15,0,0,0.5,
3760,992,3,6,0.1875,
2939,4997,0,1,0,
338,1627,0,0,0,
191,576,1,1,-0.5,
3862,4971,0,0,0,
2015,2023,1,1,-0.5,
318,1152,0,1,0,
24083,9667,1,0,0.25,
368,383,0,1,0.2,
1061,201,1,1,0.05,
19369,2140,1,4,0.1,
159,182,2,2,0.1,
24138,1926,4,27,0,
5103,541,2,4,0,
272,1519,0,0,0.136363636,
7900,1702,0,0,0,
728,4967,0,0,0.05,
33014,36296,6,23,-0.055555556,
10039,10694,1,3,0.3,
15500,14504,0,0,0.214285714,
21,207,0,3,0,
73,231,0,0,0.25,
62,269,0,1,0.214285714,
898,921,0,2,0.041666667,
