followers count,friends count,retweet count,favorite count,polarity,SubjectivityClass
10292,1957,7,28,0.3166666666666667,1
4566,5018,7,12,0.13636363636363635,1
859,356,0,1,0.0,0
1694,1699,0,0,0.0,0
5758,1152,0,3,0.5375,2
1530,2573,0,0,0.0,0
110,356,1,30,0.06818181818181818,1
576,373,0,0,-0.2125,1
418,770,2,5,0.3449494949494949,1
6665,6684,6,9,0.0,0
38568,42428,5,8,0.0,0
4,32,0,0,0.0,0
63,378,0,0,0.1,2
20,28,0,3,0.0,0
9,23,0,0,0.0,0
7284,7732,7,30,-1.0,2
63,378,0,0,0.1,2
9,23,0,0,0.5,1
4198,960,16,20,0.1,0
9,23,0,0,0.5,1
73922,38390,60,154,0.0,1
366,566,0,0,-0.25,2
4012,4850,0,0,-0.3125,2
28561,2503,0,0,0.0,0
2223,851,1,3,-0.05,0
352,78,0,2,0.0,0
72,215,0,0,0.1880952380952381,2
1,56,0,0,0.0,2
11807,12812,3,17,0.0,0
222,330,0,0,-0.15000000000000002,2
9,23,0,1,0.0,0
12289,12626,0,0,0.0,1
53888,12975,0,0,-0.3125,2
1,59,0,0,0.0,0
2403,2401,0,0,-0.3125,2
10240,10124,0,0,-0.3125,2
175,515,0,3,-0.125,2
141198,290,165,567,0.0,2
109860,45852,183,532,0.0,0
19276,1094,146,216,0.1,0
6033,6338,6,10,-0.4,1
44,42,0,0,0.16666666666666669,0
1529,1783,1,6,0.1,0
28057,2065,8,16,0.3,1
111,1287,0,0,0.3,2
467,89,0,3,0.0,0
15616,15897,16,17,0.0,0
2504,3097,0,1,0.0,2
272,434,0,1,0.15,2
203,872,0,0,0.3,2
385,623,0,0,0.3,2
11017,2376,1,6,0.0,0
552,424,0,0,0.3,2
1569,1500,0,0,0.0,2
13600,2967,0,0,0.21428571428571427,1
215,976,0,0,0.2857142857142857,1
3539,3936,0,0,0.0,0
33,38,3,6,0.1,0
78858,176,225,647,0.25,0
0,22,0,0,0.7,2
4628,5035,0,0,0.0,0
652,3587,1,1,-0.09166666666666667,0
523,99,0,0,0.8,2
2667,4363,0,1,0.0,0
659,821,0,5,0.046590909090909086,0
4966,415,0,7,0.7,2
3451,5002,0,1,-0.03055555555555556,0
53,163,0,0,0.0,0
7092,2646,0,0,0.0,0
11,10,0,0,0.0,0
1714,1792,0,0,0.3,2
2177,4937,1,1,0.3,2
1470,1112,1,1,-0.25,2
1382,1030,0,0,0.0,0
119,208,0,0,0.0,0
73343,3804,29,113,0.3333333333333333,2
19778,21752,0,0,0.0,0
40458,1371,13,82,0.0,0
16489,684,0,0,0.1,0
449,103,0,2,-0.125,2
18942,6929,10,75,0.05,0
4569,1097,0,1,0.0,0
1604,2179,0,0,0.3,2
43,36,0,1,0.1,0
87,203,0,0,0.5,1
1930,166,0,1,0.1,0
45,65,0,0,0.13636363636363635,1
5473,254,0,0,0.0,0
24,256,0,0,0.0,0
784,1436,0,0,0.3,2
4560,4322,0,0,0.0,0
456,457,0,1,0.3,2
22,38,0,0,0.0,2
